Experience,Employment type,Satisfaction,Salary,Stability,Age,Location
1 - 4 years,Full-time employee (agency/consultancy),"Not really satisfied, but I deal","$50,000 to $74,999",I'm a little concerned,24,midwest
10 - 14 years,Self-employed / Small business owner,"Happy, but there's room for improvement","$150,000 to $199,999",Fairly stable,30,southeast
15 - 20 years,Full-time employee (in-house),"Happy, but there's room for improvement","$35,000 to $49,999",Fairly stable,40,west
20+ years,Full-time employee (in-house),"Not really satisfied, but I deal","$50,000 to $74,999",Fairly stable,49,northeast
20+ years,Self-employed / Small business owner,"Not really satisfied, but I deal","$100,000 to $149,999",Fairly stable,56,southeast
15 - 20 years,Full-time employee (in-house),"Happy, but there's room for improvement","$75,000 to $99,999",Rock solid,37,west
10 - 14 years,Full-time employee (in-house),"Not really satisfied, but I deal","$75,000 to $99,999",Fairly stable,32,midwest
1 - 4 years,Self-employed / Small business owner,"Happy, but there's room for improvement","Less than $25,000",I'm a little concerned,26,west
20+ years,Self-employed / Small business owner,"Happy, but there's room for improvement","$150,000 to $199,999",Fairly stable,46,west
1 - 4 years,Full-time employee (agency/consultancy),"Not really satisfied, but I deal","$35,000 to $49,999",Fairly stable,24,midwest
5 - 9 years,Full-time employee (in-house),"Happy, but there's room for improvement","$50,000 to $74,999",Rock solid,26,northeast
20+ years,Full-time employee (in-house),"Happy, but there's room for improvement","$100,000 to $149,999",Rock solid,54,southwest
10 - 14 years,Full-time employee (in-house),"Not really satisfied, but I deal","$35,000 to $49,999",Fairly stable,31,southeast
15 - 20 years,Full-time employee (in-house),"Not really satisfied, but I deal","$75,000 to $99,999",Fairly stable,54,northeast
5 - 9 years,Full-time employee (in-house),"Not really satisfied, but I deal","$50,000 to $74,999",Fairly stable,29,west
10 - 14 years,Full-time employee (agency/consultancy),Ready to call it quits,"$75,000 to $99,999",I'm a little concerned,37,midwest
5 - 9 years,Full-time employee (in-house),"Happy, but there's room for improvement","$35,000 to $49,999",Rock solid,26,northeast
15 - 20 years,Full-time employee (in-house),"Happy, but there's room for improvement","$50,000 to $74,999",I'm a little concerned,45,west
5 - 9 years,Full-time employee (agency/consultancy),"Not really satisfied, but I deal","$50,000 to $74,999",Fairly stable,33,midwest
10 - 14 years,Full-time employee (in-house),"Happy, but there's room for improvement","$50,000 to $74,999",Fairly stable,38,midwest
10 - 14 years,Full-time employee (agency/consultancy),"Not really satisfied, but I deal","$50,000 to $74,999",Fairly stable,29,northeast
5 - 9 years,Full-time employee (in-house),Ready to call it quits,"$50,000 to $74,999",Fairly stable,31,northeast
5 - 9 years,Full-time employee (in-house),"Happy, but there's room for improvement","$50,000 to $74,999",Fairly stable,32,southwest
10 - 14 years,Full-time employee (in-house),"Happy, but there's room for improvement","$50,000 to $74,999",Fairly stable,38,southeast
15 - 20 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$150,000 to $199,999",Fairly stable,36,west
1 - 4 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$25,000 to $34,999",I'm a little concerned,24,midwest
10 - 14 years,Full-time employee (in-house),"Not really satisfied, but I deal","$50,000 to $74,999",I'm a little concerned,37,midwest
10 - 14 years,Full-time employee (in-house),Extremely satisfied with my work situation,"$35,000 to $49,999",Fairly stable,31,southeast
5 - 9 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$50,000 to $74,999",Fairly stable,23,midwest
10 - 14 years,Educator,Extremely satisfied with my work situation,"$50,000 to $74,999",Fairly stable,35,midwest
5 - 9 years,Freelance,"Happy, but there's room for improvement","$50,000 to $74,999",Fairly stable,28,northeast
1 - 4 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$50,000 to $74,999",Fairly stable,29,west
20+ years,Self-employed / Small business owner,"Happy, but there's room for improvement","$100,000 to $149,999",Rock solid,58,west
10 - 14 years,Freelance,Extremely satisfied with my work situation,"$100,000 to $149,999",Rock solid,38,midwest
5 - 9 years,Full-time employee (in-house),"Happy, but there's room for improvement","$50,000 to $74,999",Fairly stable,27,west
10 - 14 years,Full-time employee (in-house),"Happy, but there's room for improvement","$35,000 to $49,999",Rock solid,34,midwest
5 - 9 years,Full-time employee (in-house),Extremely satisfied with my work situation,"$50,000 to $74,999",Rock solid,30,west
15 - 20 years,Full-time employee (agency/consultancy),Extremely satisfied with my work situation,"$100,000 to $149,999",Fairly stable,41,midwest
20+ years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$50,000 to $74,999",Fairly stable,57,southwest
5 - 9 years,Full-time employee (in-house),Ready to call it quits,"$50,000 to $74,999",Fairly stable,29,southwest
5 - 9 years,Full-time employee (agency/consultancy),Ready to call it quits,"$50,000 to $74,999",Not sure,28,northeast
20+ years,Freelance,"Happy, but there's room for improvement","$75,000 to $99,999",Fairly stable,60,northeast
5 - 9 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$50,000 to $74,999",Fairly stable,26,southeast
15 - 20 years,Full-time employee (in-house),"Happy, but there's room for improvement","$75,000 to $99,999",Fairly stable,36,midwest
5 - 9 years,Self-employed / Small business owner,"Not really satisfied, but I deal","$50,000 to $74,999",I keep my things in a box,31,west
1 - 4 years,Full-time employee (in-house),Extremely satisfied with my work situation,"$35,000 to $49,999",Fairly stable,26,midwest
5 - 9 years,Full-time employee (in-house),Ready to call it quits,"$50,000 to $74,999",I keep my things in a box,30,west
1 - 4 years,Full-time employee (agency/consultancy),Extremely satisfied with my work situation,"$35,000 to $49,999",Fairly stable,24,northeast
5 - 9 years,Full-time employee (in-house),"Happy, but there's room for improvement","$75,000 to $99,999",Fairly stable,39,west
15 - 20 years,Educator,"Happy, but there's room for improvement","$50,000 to $74,999",I'm a little concerned,36,midwest
10 - 14 years,Full-time employee (in-house),"Happy, but there's room for improvement","$100,000 to $149,999",Fairly stable,36,northeast
Less than 1 year,Freelance,"Happy, but there's room for improvement","$25,000 to $34,999",Fairly stable,24,northeast
20+ years,Full-time employee (agency/consultancy),"Not really satisfied, but I deal","$100,000 to $149,999",Fairly stable,43,southeast
20+ years,Full-time employee (in-house),Extremely satisfied with my work situation,"$100,000 to $149,999",Rock solid,61,northeast
20+ years,Full-time employee (agency/consultancy),Extremely satisfied with my work situation,"$100,000 to $149,999",Rock solid,48,west
5 - 9 years,Full-time employee (in-house),"Happy, but there's room for improvement","$75,000 to $99,999",Fairly stable,32,midwest
1 - 4 years,Full-time employee (in-house),"Happy, but there's room for improvement","$35,000 to $49,999",Rock solid,25,southwest
